category,intent,user_input,bot_response,complexity,tone,context
git,branch,What is git checkout?,Git checkout is used to switch branches or restore files.,simple,informal,advanced
greeting,welcome,Hey,Hey there! What would you like to learn about Git/GitHub?,simple,informal,beginner
greeting,welcome,Hello,Hello! How can I help you with Git or GitHub today?,complex,technical,intermediate
git,commit,What is git commit -m?,"The -m flag lets you add a commit message directly: git commit -m ""fix: bug fixed""",complex,formal,advanced
error,merge_conflict,How to prevent merge conflicts?,Prevent conflicts by communicating with team and frequently pulling changes.,medium,informal,intermediate
git,commit,How do I commit changes?,"To commit changes, use 'git commit -m ""your message""'.",complex,technical,advanced
error,merge_conflict,How to resolve merge conflicts?,"Resolve conflicts by editing the conflicting files, then git add and commit.",simple,technical,advanced
github,pull_request,How do I create a pull request?,Create a PR by pushing your branch and clicking 'New pull request' on GitHub.,simple,formal,advanced
git,branch,What is git checkout?,Git checkout is used to switch branches or restore files.,complex,informal,intermediate
error,merge_conflict,What causes merge conflicts?,Merge conflicts occur when different branches modify the same lines of code.,medium,technical,intermediate
git,commit,How do I commit changes?,"To commit changes, use 'git commit -m ""your message""'.",medium,informal,beginner
git,commit,What is git commit -m?,"The -m flag lets you add a commit message directly: git commit -m ""fix: bug fixed""",complex,formal,intermediate
error,merge_conflict,"Got merge conflict, what now?","Open the conflicting files, choose which changes to keep, then commit.",medium,technical,beginner
git,commit,What is git commit -m?,"The -m flag lets you add a commit message directly: git commit -m ""fix: bug fixed""",medium,formal,intermediate
github,pull_request,How to merge a pull request?,Merge a pull request by clicking the 'Merge' button after review.,medium,formal,advanced
greeting,welcome,Good morning,Good morning! How can I assist you with version control today?,simple,technical,beginner
git,commit,What is git commit -m?,"The -m flag lets you add a commit message directly: git commit -m ""fix: bug fixed""",medium,informal,intermediate
git,commit,How to write commit messages?,Write clear commit messages describing what changed and why.,simple,formal,beginner
greeting,welcome,How are you?,Hello! I'm doing well and ready to help with your questions!,medium,technical,beginner
git,branch,How to switch branches?,Switch branches using 'git checkout branch-name' or 'git switch branch-name'.,complex,formal,advanced
error,merge_conflict,How to resolve merge conflicts?,"Resolve conflicts by editing the conflicting files, then git add and commit.",simple,informal,advanced
github,pull_request,What is a PR?,A PR (Pull Request) is a way to propose changes to a repository.,simple,formal,advanced
